time;P_int
0;2.4
60;0.6
120;0
180;0
240;1.8
300;0.6
360;0
420;0
480;0
540;0
600;0
660;1.8
720;0
780;0
840;0
900;0
960;0
1020;0
1080;0
1140;0
1200;0
1260;0
1320;0
1380;0
1440;0
1500;0
1560;0
1620;0
1680;0
1740;0
1800;0
1860;0
1920;0
1980;0
2040;0
2100;0
2160;0
2220;0
2280;0
2340;0
2400;2.4
2460;0
2520;0
2580;0
2640;0
2700;0
2760;0
2820;0
2880;0
2940;0
3000;0
3060;0
3120;0
3180;0
3240;0
3300;0
3360;0
3420;1.8
3480;0
3540;0
3600;0
3660;0
3720;0
3780;0
3840;0
3900;1.8
3960;0.6
4020;0
4080;0
4140;0
4200;0
4260;0
4320;0
4380;1.8
4440;1.2
4500;5.4
4560;16.2
4620;73.8
4680;33
4740;69.6
4800;43.2
4860;21.6
4920;3
4980;1.2
5040;0
5100;0
5160;0
5220;0
5280;0
5340;0
5400;0
5460;0
5520;0
5580;0
5640;0
5700;0
5760;0
5820;0
5880;0
5940;0
6000;0
6060;0
6120;0
6180;1.8
6240;7.2
6300;1.2
6360;0
6420;0
6480;0
6540;3.6
6600;0.6
6660;0
6720;0
6780;0
6840;3
6900;4.8
6960;18
7020;3.6
7080;1.2
7140;2.4
7200;4.8
7260;2.4
7320;3
7380;11.4
7440;15.6
7500;7.8
7560;9.6
7620;15.6
7680;12
7740;7.2
7800;1.2
7860;4.2
7920;5.4
7980;1.8
8040;1.8
8100;7.2
8160;2.4
8220;0.6
8280;0
8340;0
8400;0
8460;0
8520;0
8580;0
8640;0
8700;0
8760;0
8820;0
8880;0
8940;0
9000;0
9060;0
9120;0
9180;0
9240;0
9300;0
9360;0
9420;0
9480;0
9540;0
9600;0
9660;0
9720;0
9780;0
9840;0
9900;0
9960;0
10020;0
10080;0
10140;0
10200;0
10260;0
10320;0
10380;0
10440;0
10500;0
10560;0
10620;0
10680;0
10740;0
10800;0
10860;0
10920;0
10980;0
11040;1.8
11100;13.8
11160;42
11220;15
11280;19.2
11340;12
11400;11.4
11460;14.4
11520;9
11580;3.6
11640;2.4
11700;1.2
11760;0
11820;0
11880;0
11940;0
12000;0
12060;0
12120;1.8
12180;0
12240;0
12300;7.2
12360;4.8
12420;14.4
12480;10.8
12540;1.2
12600;0
12660;0
12720;1.8
12780;0.6
12840;0
12900;0
12960;0
13020;0
13080;0
13140;0
13200;0
13260;0
13320;0
13380;0
13440;0
13500;0
13560;0
13620;0
13680;0
13740;0
13800;0
13860;0
13920;0
13980;0
14040;0
14100;2.4
14160;3
14220;2.4
14280;15
14340;6
14400;3
14460;1.2
14520;0
14580;0
14640;0
14700;0
14760;0
14820;1.8
14880;0
14940;0
15000;0
15060;0
15120;0
15180;0
15240;0
15300;0
15360;0
15420;0
15480;0
15540;0
15600;0
15660;0
15720;0
15780;0
15840;0
15900;0
15960;0
16020;0
16080;0
16140;0
16200;0
16260;0
16320;0
16380;0
16440;0
16500;0
16560;13.2
16620;25.8
16680;14.4
16740;24
16800;10.8
16860;24.6
16920;2.4
16980;1.2
17040;0
17100;0
17160;0
17220;0
17280;0
17340;0
17400;2.4
17460;0
17520;0
17580;0
17640;0
17700;2.4
17760;0
17820;0
17880;0
17940;0
18000;0
18060;0
18120;0
18180;0
18240;0
18300;0
18360;0
18420;0
18480;0
18540;0
18600;0
18660;0
18720;0
18780;0
18840;0
18900;0
18960;0
19020;0
19080;0
19140;0
19200;0
19260;0
19320;0
19380;0
19440;0
19500;0
19560;0
19620;0
19680;0
19740;0
19800;0
19860;0
19920;0
19980;0
20040;0
20100;0
20160;1.8
20220;0.6
20280;0
20340;0
20400;0
20460;0
20520;0
20580;0
20640;1.8
20700;1.2
20760;0
20820;1.8
20880;1.2
20940;3
21000;3
21060;2.4
21120;4.2
21180;4.2
21240;5.4
21300;4.2
21360;3
21420;3.6
21480;2.4
21540;2.4
21600;3
21660;4.2
21720;5.4
21780;14.4
21840;4.2
21900;4.8
21960;4.2
22020;3.6
22080;3
22140;2.4
22200;0.6
22260;0
22320;3
22380;1.2
22440;0
22500;2.4
22560;3
22620;2.4
22680;4.2
22740;4.8
22800;1.8
22860;1.8
22920;4.2
22980;3.6
23040;3
23100;1.8
23160;2.4
23220;3.6
23280;1.8
23340;4.2
23400;3.6
23460;3
23520;3.6
23580;3
23640;3
23700;2.4
23760;3
23820;2.4
23880;1.8
23940;1.8
24000;3.6
24060;9.6
24120;10.2
24180;18
24240;16.2
24300;14.4
24360;8.4
24420;9.6
24480;15.6
24540;19.2
24600;15
24660;14.4
24720;7.8
24780;3.6
24840;3.6
24900;3.6
24960;2.4
25020;1.2
25080;4.8
25140;5.4
25200;18
25260;16.2
25320;24.6
25380;15.6
25440;9
25500;8.4
25560;6
25620;7.8
25680;6.6
25740;3
25800;1.8
25860;3
25920;4.2
25980;1.8
26040;3
26100;4.2
26160;11.4
26220;3.6
26280;2.4
26340;0.6
26400;0
26460;0
26520;0
26580;1.8
26640;0
26700;0
26760;0
26820;0
26880;2.4
26940;0.6
27000;0
27060;0
27120;0
27180;0
27240;2.4
27300;1.2
27360;0
27420;2.4
27480;0.6
27540;0
27600;2.4
27660;1.2
27720;0
27780;1.8
27840;1.2
27900;0
27960;0
28020;2.4
28080;0.6
28140;0
28200;0
28260;1.8
28320;0.6
28380;0
28440;0
28500;3.6
28560;1.2
28620;0
28680;2.4
28740;1.2
28800;0
28860;0
28920;2.4
28980;1.2
29040;0
29100;0
29160;0
29220;2.4
29280;0
29340;0
29400;0
29460;0
29520;0
29580;0
29640;0
29700;0
29760;0
29820;0
29880;0
29940;0
30000;0
30060;0
30120;0
30180;0
30240;0
30300;0
30360;0
30420;0
30480;0
30540;0
30600;0
30660;0
30720;0
30780;0
30840;0
30900;0
30960;0
31020;0
31080;0
31140;0
31200;0
31260;0
31320;0
31380;0
31440;0
31500;0
31560;0
31620;0
31680;0
31740;0
31800;0
31860;0
31920;0
31980;0
32040;0
32100;0
32160;0
32220;0
32280;0
32340;0
32400;0
32460;0
32520;0
32580;0
32640;0
32700;0
32760;0
32820;0
32880;0
32940;0
33000;0
33060;0
33120;0
33180;0
33240;0
33300;0
33360;0
33420;0
33480;0
33540;0
33600;0
33660;0
33720;0
33780;0
33840;0
33900;0
33960;0
34020;0
34080;0
34140;0
34200;0
34260;0
34320;0
34380;1.8
34440;0.6
34500;0
34560;0
34620;0
34680;0
34740;0
34800;0
34860;0
34920;0
34980;0
35040;0
35100;0
35160;0
35220;0
35280;0
35340;0
35400;0
35460;0
35520;0
35580;0
35640;0
35700;0
35760;0
35820;0
35880;0
35940;0
36000;0
36060;0
36120;0
36180;0
36240;0
36300;0
36360;0
36420;0
36480;0
36540;0
36600;0
36660;0
36720;0
36780;0
36840;0
36900;0
36960;0
37020;0
37080;0
37140;0
37200;0
37260;0
37320;0
37380;0
37440;0
37500;0
37560;0
37620;0
37680;0
37740;0
37800;0
37860;0
37920;0
37980;0
38040;0
38100;0
38160;0
38220;0
38280;0
38340;0
38400;0
38460;0
38520;0
38580;0
38640;0
38700;0
38760;0
38820;0
38880;0
38940;0
39000;0
39060;0
39120;0
39180;0
39240;0
39300;0
39360;0
39420;0
39480;0
39540;0
39600;0
39660;0
39720;0
39780;0
39840;0
39900;0
39960;0
40020;0
40080;0
40140;0
40200;0
40260;0
40320;0
40380;0
40440;0
40500;0
40560;0
40620;0
40680;0
