time;P_int
0;0
60;0
120;0
180;0
240;0
300;0
360;0
420;0
480;0
540;0
600;0
660;1.8
720;0
780;0
840;0
900;0
960;0
1020;0
1080;0
1140;0
1200;0
1260;0
1320;0
1380;0
1440;2.4
1500;0.6
1560;0
1620;0
1680;0
1740;0
1800;0
1860;0
1920;0
1980;1.8
2040;0.6
2100;0
2160;0
2220;3
2280;1.2
2340;0
2400;1.8
2460;1.2
2520;0
2580;3
2640;1.2
2700;0
2760;2.4
2820;1.8
2880;1.8
2940;1.2
3000;2.4
3060;2.4
3120;3
3180;3
3240;3
3300;3.6
3360;3.6
3420;2.4
3480;1.8
3540;0
3600;2.4
3660;1.8
3720;0
3780;0
3840;1.8
3900;0.6
3960;0
4020;0
4080;2.4
4140;0.6
4200;0
4260;0
4320;0
4380;1.8
4440;0.6
4500;0
4560;0
4620;0
4680;0
4740;0
4800;0
4860;1.8
4920;0.6
4980;0
5040;0
5100;0
5160;0
5220;0
5280;0
5340;0
5400;0
5460;1.8
5520;0
5580;0
5640;0
5700;0
5760;0
5820;0
5880;0
5940;0
6000;2.4
6060;1.2
6120;0
6180;2.4
6240;1.8
6300;2.4
6360;3
6420;3.6
6480;3
6540;1.8
6600;1.8
6660;1.8
6720;1.8
6780;1.8
6840;1.8
6900;1.8
6960;0
7020;2.4
7080;1.8
7140;1.2
7200;0
7260;3.6
7320;1.8
7380;3
7440;3
7500;3.6
7560;3.6
7620;3.6
7680;2.4
7740;2.4
7800;3
7860;3.6
7920;3
7980;4.8
8040;4.2
8100;4.2
8160;4.2
8220;4.8
8280;4.2
8340;2.4
8400;3
8460;3.6
8520;2.4
8580;2.4
8640;2.4
8700;1.8
8760;2.4
8820;2.4
8880;2.4
8940;2.4
9000;3
9060;2.4
9120;2.4
9180;3
9240;3
9300;3
9360;3
9420;2.4
9480;1.2
9540;0
9600;3
9660;2.4
9720;1.8
9780;1.8
9840;1.8
9900;1.8
9960;0
10020;3.6
10080;1.2
10140;2.4
10200;1.8
10260;1.8
10320;1.8
10380;0
10440;3
10500;1.8
10560;0
10620;3
10680;1.8
10740;0
10800;1.8
10860;0.6
10920;0
10980;0
11040;0
11100;2.4
11160;0.6
11220;2.4
11280;1.8
11340;3
11400;3
11460;2.4
11520;1.8
11580;2.4
11640;1.8
11700;1.2
11760;0
11820;2.4
11880;1.2
11940;0
12000;2.4
12060;1.8
12120;3
12180;2.4
12240;1.2
12300;0
12360;1.8
12420;0
12480;0
12540;0
