time;P_int
0;0
60;0
120;0
180;0
240;1.8
300;0
360;0
420;0
480;0
540;0
600;0
660;1.8
720;0
780;0
840;0
900;2.4
960;0.6
1020;0
1080;3
1140;1.2
1200;0
1260;1.8
1320;0.6
1380;0
1440;0
1500;0
1560;2.4
1620;0.6
1680;0
1740;0
1800;0
1860;0
1920;2.4
1980;0
2040;0
2100;0
2160;0
2220;1.8
2280;0.6
2340;0
2400;0
2460;2.4
2520;0.6
2580;0
2640;2.4
2700;1.8
2760;0
2820;2.4
2880;0.6
2940;0
3000;0
3060;1.8
3120;0.6
3180;0
3240;0
3300;0
3360;1.8
3420;0.6
3480;0
3540;0
3600;0
3660;1.8
3720;1.2
3780;0
3840;1.8
3900;0.6
3960;0
4020;0
4080;0
4140;0
4200;0
4260;0
4320;0
4380;0
4440;0
4500;1.8
4560;0
4620;0
4680;0
4740;0
4800;0
4860;0
4920;0
4980;0
5040;0
5100;0
5160;0
5220;2.4
5280;0
5340;0
5400;1.8
5460;1.8
5520;0
5580;0
5640;1.8
5700;0.6
5760;0
5820;1.8
5880;0.6
5940;0
6000;0
6060;2.4
6120;0.6
6180;0
6240;2.4
6300;0.6
6360;0
6420;2.4
6480;1.2
6540;0
6600;2.4
6660;0.6
6720;0
6780;2.4
6840;0.6
6900;0
6960;2.4
7020;1.2
7080;1.8
7140;1.2
7200;0
7260;4.2
7320;4.8
7380;7.2
7440;13.2
7500;9
7560;6.6
7620;2.4
7680;2.4
7740;2.4
7800;1.2
7860;1.8
7920;1.2
7980;0
8040;0
8100;0
8160;2.4
8220;1.2
8280;0
8340;3.6
8400;2.4
8460;4.2
8520;5.4
8580;4.8
8640;3.6
8700;3.6
8760;1.8
8820;3.6
8880;3
8940;2.4
9000;2.4
9060;2.4
9120;1.2
9180;2.4
9240;1.2
9300;0
9360;4.2
9420;1.2
9480;3.6
9540;1.8
9600;3
9660;3
9720;1.8
9780;4.2
9840;3.6
9900;4.2
9960;6
10020;4.8
10080;3
10140;4.2
10200;4.8
10260;4.8
10320;3.6
10380;3.6
10440;4.2
10500;4.8
10560;3.6
10620;3.6
10680;4.8
10740;3
10800;3.6
10860;3
10920;3.6
10980;3
11040;4.2
11100;3.6
11160;4.8
11220;4.2
11280;1.8
11340;3
11400;3.6
11460;4.2
11520;4.8
11580;2.4
11640;2.4
11700;3.6
11760;3
11820;3.6
11880;1.8
11940;2.4
12000;3.6
12060;3.6
12120;2.4
12180;3.6
12240;3
12300;2.4
