time;P_int
0;1.8
60;2.4
120;3
180;3.6
240;7.8
300;10.2
360;15
420;10.2
480;6.6
540;2.4
600;2.4
660;1.2
720;3
780;3
840;2.4
900;2.4
960;0.6
1020;0
1080;9
1140;11.4
1200;19.2
1260;12.6
1320;17.4
1380;13.2
1440;5.4
1500;3
1560;3.6
1620;2.4
1680;1.8
1740;2.4
1800;2.4
1860;1.8
1920;1.2
1980;0
2040;3.6
2100;1.2
2160;0
2220;4.2
2280;3
2340;4.8
2400;3
2460;1.8
2520;0.6
2580;0
2640;0
2700;2.4
2760;0.6
2820;0
2880;0
2940;2.4
3000;1.2
3060;3.6
3120;2.4
3180;3
3240;2.4
3300;3.6
3360;4.2
3420;4.2
3480;3.6
3540;3.6
3600;4.2
3660;3.6
3720;4.2
3780;7.8
3840;8.4
3900;21
3960;9
4020;10.8
4080;8.4
4140;3
4200;3
4260;3
4320;1.8
4380;4.2
4440;9
4500;12.6
4560;12
4620;15
4680;9
4740;11.4
4800;9
4860;10.8
4920;11.4
4980;7.2
5040;7.8
5100;4.2
5160;4.8
5220;1.8
5280;2.4
5340;1.8
5400;0
5460;3.6
5520;2.4
5580;2.4
5640;6.6
5700;27.6
5760;10.8
5820;5.4
5880;5.4
5940;4.2
6000;4.2
6060;6
6120;9.6
6180;12.6
6240;22.8
6300;23.4
6360;42
6420;18
6480;8.4
6540;6
6600;3
6660;7.8
6720;4.8
6780;6
6840;7.8
6900;9.6
6960;8.4
7020;9.6
7080;16.8
7140;18
7200;9.6
7260;12
7320;5.4
7380;9
7440;9
7500;18
7560;28.8
7620;60
7680;39.6
7740;10.2
7800;9
7860;7.2
7920;3.6
7980;2.4
8040;3
8100;0.6
8160;0
8220;0
8280;0
8340;0
8400;0
8460;0
8520;0
8580;0
8640;0
8700;0
8760;0
8820;0
8880;0
8940;0
9000;0
9060;0
9120;0
9180;0
9240;0
9300;0
9360;0
9420;0
9480;0
9540;0
9600;0
9660;0
9720;0
9780;0
9840;0
9900;0
9960;0
10020;0
10080;0
10140;0
10200;0
10260;0
10320;0
10380;0
10440;0
10500;0
10560;0
10620;0
10680;0
10740;0
10800;0
10860;0
10920;0
10980;0
11040;0
11100;0
11160;0
11220;0
11280;0
11340;0
11400;0
11460;0
11520;0
11580;0
11640;0
11700;0
11760;0
11820;0
11880;0
11940;0
12000;0
12060;0
12120;0
12180;0
12240;0
12300;0
12360;0
12420;0
12480;0
12540;0
12600;0
12660;0
12720;0
12780;0
12840;0
12900;0
12960;0
13020;0
13080;0
13140;0
13200;0
13260;0
13320;0
13380;0
13440;0
13500;0
13560;0
13620;0
13680;0
13740;0
13800;0
13860;0
13920;0
13980;0
14040;0
14100;0
14160;0
14220;0
14280;0
14340;0
14400;0
14460;0
14520;0
14580;0
14640;0
14700;0
14760;0
14820;0
14880;0
14940;0
15000;0
15060;0
15120;0
15180;0
15240;0
15300;0
15360;0
15420;0
15480;0
15540;0
15600;0
15660;0
15720;0
15780;0
15840;0
15900;0
15960;0
16020;0
16080;0
16140;0
16200;0
16260;30
16320;50.4
16380;3
16440;5.4
16500;3
16560;3
16620;2.4
16680;11.4
16740;28.8
16800;37.8
16860;11.4
16920;9.6
16980;4.2
17040;3.6
17100;2.4
17160;16.2
17220;13.2
17280;9.6
17340;16.8
17400;36
17460;0.6
17520;0
