time;P_int
0;19.8
60;39
120;76.2
180;89.4
240;48
300;135.6
360;82.2
420;46.8
480;54.6
540;30
600;29.4
660;15.6
720;6.6
780;10.2
840;15
900;15.6
960;13.8
1020;10.8
1080;9
1140;9
1200;16.8
1260;10.2
1320;1.2
1380;4.2
1440;4.2
1500;6.6
1560;3.6
1620;2.4
1680;3
1740;2.4
1800;4.8
1860;7.8
1920;19.2
1980;22.2
2040;31.8
2100;33.6
2160;69.6
2220;53.4
2280;33
2340;24
2400;57.6
2460;59.4
2520;51.6
2580;54.6
2640;46.2
2700;72.6
2760;76.2
2820;64.2
2880;70.2
2940;82.2
3000;27.6
3060;11.4
3120;6.6
3180;1.8
3240;3.6
3300;2.4
3360;2.4
3420;1.8
3480;1.2
3540;0
3600;0
3660;2.4
3720;1.2
3780;0
3840;3
3900;1.2
3960;1.8
4020;0.6
4080;0
4140;1.8
4200;1.2
4260;0
4320;1.8
4380;0.6
4440;0
4500;0
4560;2.4
4620;1.2
4680;0
4740;1.8
4800;0.6
4860;0
4920;0
4980;1.8
5040;0.6
5100;0
5160;0
5220;0
5280;3
5340;0.6
5400;0
5460;1.8
5520;1.2
5580;0
5640;0
5700;0
5760;0
5820;1.8
5880;0.6
5940;0
6000;0
6060;0
6120;0
6180;0
6240;0
6300;0
6360;0
6420;0
6480;0
6540;0
6600;0
6660;0
6720;0
6780;0
6840;0
6900;0
6960;0
7020;0
7080;0
7140;0
7200;0
