time;P_int
0;0
60;0
120;0
180;0
240;0
300;0
360;0
420;0
480;0
540;0
600;0
660;0
720;0
780;0
840;2.4
900;0
960;0
1020;0
1080;0
1140;0
1200;0
1260;0
1320;0
1380;1.8
1440;0
1500;0
1560;0
1620;0
1680;0
1740;0
1800;2.4
1860;0
1920;0
1980;0
2040;0
2100;0
2160;0
2220;0
2280;1.8
2340;0.6
2400;0
2460;0
2520;0
2580;1.8
2640;0
2700;0
2760;0
2820;0
2880;2.4
2940;0.6
3000;0
3060;0
3120;0
3180;0
3240;0
3300;2.4
3360;1.2
3420;0
3480;3.6
3540;3
3600;1.8
3660;3
3720;5.4
3780;7.8
3840;22.2
3900;12
3960;10.8
4020;6
4080;5.4
4140;3.6
4200;3
4260;5.4
4320;8.4
4380;9.6
4440;9.6
4500;6.6
4560;3.6
4620;3.6
4680;3
4740;4.2
4800;7.8
4860;19.2
4920;22.8
4980;11.4
5040;9
5100;4.2
5160;4.2
5220;2.4
5280;4.8
5340;1.8
5400;3.6
5460;1.2
5520;2.4
5580;1.8
5640;1.8
5700;1.2
5760;0
5820;3
5880;0.6
5940;1.8
6000;1.2
6060;0
6120;3
6180;1.2
6240;0
6300;3
6360;1.8
6420;0
6480;3.6
6540;2.4
6600;1.2
6660;1.8
6720;1.8
6780;0
6840;2.4
6900;1.8
6960;2.4
7020;1.8
7080;1.8
7140;1.8
7200;1.8
7260;2.4
7320;1.2
7380;0
7440;3
7500;0.6
7560;0
7620;2.4
7680;1.2
7740;0
7800;0
7860;1.8
7920;0.6
7980;0
8040;0
8100;3
8160;1.2
8220;0
8280;3
8340;1.2
8400;0
8460;2.4
8520;0.6
8580;1.8
8640;1.8
8700;0
8760;2.4
8820;0.6
8880;2.4
8940;1.8
9000;3
9060;2.4
9120;6.6
9180;12
9240;10.8
9300;3
9360;2.4
9420;3.6
9480;2.4
9540;1.8
9600;3
9660;1.8
9720;0.6
9780;0
9840;2.4
9900;3.6
9960;3
10020;3
10080;2.4
10140;7.2
10200;10.2
10260;25.2
10320;7.8
10380;1.8
10440;0
10500;0
10560;2.4
10620;0
10680;0
10740;0
10800;2.4
10860;1.2
10920;0
10980;3
11040;3
11100;1.8
11160;0
11220;2.4
11280;1.2
11340;0
11400;3.6
11460;2.4
11520;2.4
11580;3.6
11640;3
11700;2.4
11760;2.4
11820;1.8
11880;0
11940;2.4
12000;1.8
12060;0
12120;1.8
12180;1.8
12240;0
12300;3
12360;1.8
12420;0
