time;P_int
0;157.8
60;48
120;39
180;28.8
240;6
300;4.2
360;2.4
420;1.2
480;0
540;0
600;0
660;1.8
720;0.6
780;0
840;0
900;0
960;1.8
1020;0
1080;0
1140;0
1200;0
1260;0
1320;0
1380;0
1440;0
1500;0
1560;0
1620;0
1680;0
1740;0
1800;0
1860;0
1920;0
1980;0
2040;0
2100;0
2160;0
2220;0
2280;0
2340;0
2400;0
2460;0
2520;0
2580;0
2640;0
2700;0
2760;0
2820;0
2880;0
2940;0
3000;0
3060;0
3120;0
3180;0
3240;0
3300;0
3360;0
3420;0
3480;0
3540;0
3600;0
3660;0
3720;0
3780;0
3840;0
3900;0
3960;0
4020;0
4080;0
4140;0
4200;0
4260;0
4320;0
4380;0
4440;0
4500;0
4560;0
4620;0
4680;0
4740;0
4800;0
4860;0
4920;0
4980;0
5040;0
5100;0
5160;0
5220;0
5280;0
5340;0
5400;0
5460;0
5520;4.2
5580;22.2
5640;21.6
5700;23.4
5760;24.6
5820;18.6
5880;28.2
5940;34.2
6000;34.2
6060;34.2
6120;35.4
6180;22.2
6240;14.4
6300;10.8
6360;11.4
6420;15
6480;20.4
6540;24.6
6600;37.2
6660;27
6720;17.4
6780;13.8
6840;8.4
6900;8.4
6960;10.2
7020;7.8
7080;7.2
7140;7.8
7200;4.2
7260;5.4
7320;10.8
7380;21.6
7440;19.2
7500;26.4
7560;19.2
7620;4.8
7680;2.4
7740;1.8
7800;0
7860;1.8
7920;0.6
7980;0
8040;0
8100;0
8160;0
8220;0
8280;1.8
8340;0.6
8400;0
8460;0
8520;0
8580;0
8640;0
8700;0
8760;0
8820;0
8880;0
8940;0
9000;0
9060;0
9120;3
9180;4.2
9240;4.2
9300;3
9360;2.4
9420;2.4
9480;1.2
9540;0
9600;2.4
9660;0
