time;P_int
0;3
60;2.4
120;13.2
180;13.2
240;22.8
300;46.2
360;74.4
420;51.6
480;40.2
540;7.8
600;0.6
660;0
720;0
780;2.4
840;0.6
900;4.8
960;9
1020;70.8
1080;24
1140;18
1200;13.2
1260;61.2
1320;34.8
1380;20.4
1440;4.2
1500;0
1560;0
1620;0
1680;0
1740;0
1800;0
1860;0
1920;0
1980;0
2040;0
2100;0
2160;0
2220;0
2280;0
2340;0
2400;0
2460;0
2520;0
2580;0
2640;0
2700;0
2760;0
2820;0
2880;0
2940;0
3000;0
3060;0
3120;0
3180;0
3240;0
3300;0
3360;0
3420;0
3480;0
3540;0
3600;0
3660;0
3720;0
3780;0
3840;0
3900;0
3960;0
4020;0
4080;0
4140;0
4200;0
4260;0
4320;0
4380;0
4440;0
4500;0
4560;0
4620;0
4680;0
4740;0
4800;0
4860;0
4920;0
4980;0
5040;0
5100;0
5160;0
5220;0
5280;0
5340;0
5400;0
5460;0
5520;27.6
5580;15.6
5640;7.2
5700;11.4
5760;2.4
5820;4.2
5880;6.6
5940;9
6000;5.4
6060;7.8
6120;3.6
6180;1.2
6240;0
6300;0
6360;0
6420;2.4
6480;2.4
6540;4.8
6600;1.2
6660;0
