time;P_int
32220;3
32280;3
32340;3
32400;2.4
32460;2.4
32520;2.4
32580;2.4
32640;2.4
32700;3
32760;3.6
32820;2.4
32880;1.8
32940;2.4
33000;3
33060;3
33120;4.8
33180;3.6
33240;4.2
33300;2.4
33360;3
33420;1.8
33480;1.8
33540;3
33600;1.8
33660;2.4
33720;3
33780;1.8
33840;4.2
33900;6
33960;4.2
34020;3
34080;3
34140;4.2
34200;6
34260;5.4
34320;3.6
34380;3.6
34440;5.4
34500;3.6
34560;3.6
34620;1.8
34680;2.4
34740;3
34800;3
34860;4.2
34920;4.2
34980;5.4
35040;4.8
35100;3
35160;2.4
35220;1.8
35280;1.8
35340;0.6
35400;0
35460;3
35520;1.2
35580;0
35640;0
35700;3.6
35760;0.6
35820;0
35880;2.4
35940;0.6
36000;0
36060;0
36120;2.4
36180;0.6
36240;0
36300;1.8
36360;1.2
36420;0
36480;0
36540;0
36600;0
36660;1.8
36720;0
36780;0
36840;4.2
36900;9
36960;20.4
37020;9.6
37080;14.4
37140;5.4
37200;1.2
37260;0
37320;0
37380;0
37440;0
37500;0
37560;2.4
37620;0
37680;0
37740;0
37800;3
37860;1.2
37920;0
37980;2.4
38040;1.2
38100;0
38160;2.4
38220;0.6
38280;0
38340;3
38400;1.2
38460;0
38520;1.8
38580;1.8
38640;0
38700;1.8
38760;0.6
38820;0
38880;0
38940;0
39000;2.4
39060;0.6
39120;0
39180;0
39240;1.8
39300;0.6
39360;0
39420;0
39480;1.8
39540;0.6
39600;0
39660;0
39720;0
39780;0
39840;0
39900;0
39960;2.4
40020;0
40080;0
40140;0
40200;0
40260;0
40320;0
40380;0
40440;0
40500;0
40560;0
40620;0
40680;2.4
40740;0
40800;0
40860;0
40920;0
40980;1.8
41040;0.6
41100;0
41160;0
41220;2.4
41280;0.6
41340;0
41400;0
41460;2.4
41520;1.2
41580;1.8
41640;1.8
41700;0
41760;1.8
41820;0.6
41880;0
41940;0
42000;1.8
42060;0.6
42120;0
42180;0
42240;1.8
42300;0
42360;0
42420;0
42480;3
42540;1.2
42600;0
42660;2.4
42720;1.2
42780;0
42840;2.4
42900;1.2
42960;0
43020;3
43080;1.2
43140;0
43200;3.6
43260;1.2
43320;0
43380;3.6
43440;1.8
43500;1.8
43560;0
43620;2.4
43680;1.8
43740;0
43800;2.4
43860;1.8
43920;0
43980;3.6
44040;1.8
44100;1.8
44160;1.8
44220;1.8
44280;0
44340;3.6
44400;1.2
44460;1.8
44520;1.2
44580;0
44640;1.8
44700;1.2
44760;0
44820;0
44880;1.8
44940;0.6
45000;0
45060;0
45120;3
45180;0.6
45240;0
45300;0
45360;2.4
45420;1.8
45480;1.8
45540;1.8
45600;2.4
45660;3.6
45720;3
45780;3
45840;3
45900;2.4
45960;2.4
46020;2.4
46080;1.8
46140;1.8
46200;1.2
46260;0
46320;0
46380;2.4
46440;0.6
46500;0
46560;0
46620;0
46680;0
46740;0
46800;1.8
46860;0
46920;0
46980;0
47040;0
47100;0
47160;2.4
47220;0
47280;0
47340;0
47400;0
47460;0
47520;0
47580;0
47640;2.4
47700;1.2
47760;0
47820;0
47880;3
47940;1.8
48000;1.8
48060;0
48120;3
48180;2.4
48240;1.2
48300;0
48360;3
48420;1.2
48480;0
48540;0
48600;0
48660;0
48720;0
48780;1.8
48840;0.6
48900;0
48960;0
49020;0
49080;1.8
49140;1.2
49200;0
49260;2.4
49320;0.6
49380;0
49440;0
49500;3
49560;1.8
49620;0.6
49680;0
49740;3.6
49800;1.2
49860;0
49920;3
49980;1.2
50040;2.4
50100;1.2
50160;0
50220;3.6
50280;1.8
50340;1.2
50400;0
50460;3.6
50520;2.4
50580;2.4
50640;2.4
50700;4.2
50760;3.6
50820;6
50880;8.4
50940;14.4
51000;7.2
51060;4.2
51120;4.2
51180;3.6
51240;2.4
51300;1.8
51360;0
51420;2.4
51480;1.2
51540;3
51600;2.4
51660;4.2
51720;3.6
51780;5.4
51840;3.6
51900;2.4
51960;3
52020;3
52080;1.2
52140;2.4
52200;3
52260;2.4
52320;3
52380;2.4
52440;1.2
52500;0
52560;3
52620;2.4
52680;1.2
52740;0
52800;3
52860;1.2
52920;0
52980;2.4
53040;1.2
53100;0
53160;1.8
53220;1.8
53280;0
53340;0
53400;2.4
53460;1.2
53520;0
53580;0
53640;3
53700;1.8
53760;2.4
53820;1.2
53880;0
53940;1.8
54000;0.6
54060;0
54120;0
54180;0
54240;0
54300;2.4
54360;1.2
54420;0
54480;0
54540;0
54600;1.8
54660;0
54720;0
54780;0
54840;0
54900;0
54960;0
55020;0
55080;1.8
55140;0.6
55200;0
55260;0
55320;2.4
55380;1.2
55440;2.4
55500;6
55560;3
55620;2.4
55680;3.6
55740;4.2
55800;3.6
55860;3
55920;3.6
55980;3
56040;2.4
56100;2.4
56160;3.6
56220;6
56280;3.6
56340;6
56400;6
56460;15
56520;8.4
56580;6
56640;6
56700;10.2
56760;8.4
56820;6.6
56880;16.2
56940;17.4
57000;20.4
57060;12
57120;12
57180;7.2
57240;12.6
57300;12
57360;10.2
57420;6
57480;3
57540;4.2
57600;4.8
57660;6.6
57720;12
57780;16.8
57840;19.2
57900;17.4
57960;12.6
58020;3.6
58080;0.6
58140;0
58200;0
58260;0
58320;0
58380;0
58440;0
58500;0
58560;0
58620;0
58680;0
58740;0
58800;0
58860;0
58920;0
58980;0
59040;0
59100;0
59160;0
59220;0
59280;0
59340;1.8
59400;1.2
59460;2.4
59520;1.2
59580;0
59640;0
59700;1.8
59760;0
59820;0
59880;0
59940;0
60000;0
60060;0
60120;0
60180;0
60240;0
60300;0
60360;0
60420;0
60480;0
60540;0
60600;0
60660;2.4
60720;0
60780;0
60840;0
60900;0
60960;0
61020;0
61080;0
61140;0
61200;0
61260;0
61320;0
61380;0
61440;1.8
61500;0
61560;0
61620;0
61680;0
61740;0
61800;0
61860;0
61920;0
61980;0
62040;0
62100;2.4
62160;0
62220;0
62280;0
62340;2.4
62400;1.8
62460;0
62520;0
62580;0
62640;0
62700;3.6
62760;13.8
62820;6.6
62880;4.8
62940;3.6
63000;1.2
63060;2.4
63120;2.4
63180;0.6
63240;0
63300;4.2
63360;1.8
63420;1.8
63480;4.2
63540;2.4
63600;2.4
63660;2.4
63720;2.4
63780;1.8
63840;0
63900;3.6
63960;2.4
64020;1.2
64080;0
64140;3.6
64200;1.2
64260;0
64320;1.8
64380;0.6
64440;0
64500;0
64560;0
64620;0
64680;0
64740;1.8
64800;0.6
64860;0
64920;0
64980;0
65040;0
65100;0
65160;0
65220;0
65280;0
65340;0
65400;0
65460;0
65520;0
65580;0
65640;0
65700;0
65760;0
65820;0
65880;0
65940;0
66000;0
66060;0
66120;0
66180;0
66240;0
66300;0
66360;0
66420;0
66480;0
66540;0
66600;0
66660;0
66720;0
66780;0
66840;0
66900;0
66960;0
67020;0
67080;0
67140;0
67200;0
67260;0
67320;0
67380;0
67440;0
67500;0
67560;0
67620;0
67680;0
67740;0
67800;0
67860;0
67920;0
67980;0
68040;0
68100;0
68160;0
68220;0
68280;0
68340;0
68400;0
68460;0
68520;0
68580;0
68640;0
68700;0
68760;0
68820;0
68880;0
68940;0
69000;0
69060;0
69120;0
69180;0
69240;0
69300;0
69360;0
69420;0
69480;0
69540;0
69600;0
69660;0
69720;0
69780;0
69840;0
69900;0
69960;1.8
70020;0
70080;0
70140;0
70200;0
70260;0
70320;0
70380;0
70440;0
70500;0
70560;0
70620;0
70680;0
70740;0
70800;0
70860;0
70920;0
70980;0
71040;0
71100;0
71160;0
71220;0
71280;0
71340;0
71400;0
71460;0
71520;0
71580;0
71640;0
71700;0
71760;0
71820;0
71880;0
71940;0
72000;0
72060;0
72120;0
72180;0
72240;0
72300;0
72360;0
72420;0
72480;0
72540;0
72600;0
72660;0
72720;0
72780;0
72840;1.8
72900;0
72960;0
73020;0
73080;0
73140;0
73200;1.8
73260;0.6
73320;0
73380;0
73440;0
73500;2.4
73560;0.6
73620;0
73680;1.8
73740;2.4
73800;2.4
73860;0.6
73920;2.4
73980;4.8
74040;4.8
74100;2.4
74160;2.4
74220;1.8
74280;1.8
74340;0
74400;3
74460;0.6
74520;0
74580;0
74640;3
74700;1.2
74760;0
74820;2.4
74880;2.4
74940;3
75000;1.8
75060;3.6
75120;3
75180;3
75240;1.8
75300;2.4
75360;1.8
75420;2.4
75480;3.6
75540;1.8
